Date;Cumulative Cases;Cumulative Deaths;Hos;Q;R;Healthcare workers;Imported E1;Imported E2;Evacuated;Undetected Cumulative Deaths;Vaccinated V1 (Pfizer);Vaccinated V2 (Moderna);Vaccinated V3 (AstraZeneca);Vaccinated V4 (Janssen)
18-Jun-2020;238011;34561;2793;18750;181907;29174;0;0;0;0;0;0;0;0
19-Jun-2020;238275;34610;2626;18586;182453;0;0;0;0;0;0;0;0;0
20-Jun-2020;238499;34634;2462;18510;182893;0;0;0;0;0;0;0;0;0
21-Jun-2020;238720;34657;2165;18472;183426;29282;0;0;0;0;0;0;0;0
22-Jun-2020;238833;34675;1968;17605;184585;0;0;0;0;0;0;0;0;0
23-Jun-2020;239410;34644;1717;16938;186111;0;0;0;0;0;0;0;0;0
24-Jun-2020;239706;34678;1618;16685;186725;0;0;0;0;0;0;0;0;0
25-Jun-2020;239961;34708;1461;16177;187615;0;0;0;0;0;0;0;0;0
26-Jun-2020;240136;34716;1357;15479;188584;0;0;0;0;0;0;0;0;0
27-Jun-2020;240310;34738;1258;15423;188891;0;0;0;0;0;0;0;0;0
28-Jun-2020;240436;34744;1216;15280;189196;29454;0;0;0;0;0;0;0;0
29-Jun-2020;240578;34767;1183;14380;190248;29476;0;0;0;0;0;0;0;0
30-Jun-2020;240760;34788;1112;14143;190717;29498;0;0;0;0;0;0;0;0
01-Jul-2020;240961;34818;1045;14015;191083;29506;0;0;0;0;0;0;0;0
02-Jul-2020;241184;34833;1035;13849;191467;0;0;0;0;0;0;0;0;0
03-Jul-2020;241419;34854;1011;13610;191944;0;0;0;0;0;0;0;0;0
04-Jul-2020;241611;34861;1019;13623;192108;29548;0;0;0;0;0;0;0;0
05-Jul-2020;241819;34869;1018;13691;192241;0;0;0;0;0;0;0;0;0
06-Jul-2020;241956;34899;1010;13232;192815;0;0;0;0;0;0;0;0;0
07-Jul-2020;242149;34914;970;12625;193640;0;0;0;0;0;0;0;0;0
08-Jul-2020;242363;34926;940;12519;193978;0;0;0;0;0;0;0;0;0
09-Jul-2020;242639;34938;909;12519;194273;0;0;0;0;0;0;0;0;0
10-Jul-2020;242827;34945;893;12410;194579;0;0;0;0;0;0;0;0;0
11-Jul-2020;243061;34954;844;12335;194928;29840;0;0;0;0;0;0;0;0
12-Jul-2020;243230;34967;833;12324;195106;0;0;0;0;0;0;0;0;0
13-Jul-2020;243344;34984;837;12082;195441;0;0;0;0;0;0;0;0;0
14-Jul-2020;243506;34997;854;11639;196016;0;0;0;0;0;0;0;0;0
15-Jul-2020;243736;35017;803;11670;196246;0;0;0;0;0;0;0;0;0
16-Jul-2020;243967;35028;821;11635;196483;0;0;0;0;0;0;0;0;0
17-Jul-2020;244216;35042;807;11561;196806;0;0;0;0;0;0;0;0;0
18-Jul-2020;244434;35045;792;11648;196949;0;0;0;0;0;0;0;0;0
19-Jul-2020;244624;35058;792;11612;197162;29860;0;0;0;0;0;0;0;0
20-Jul-2020;244752;35073;781;11467;197431;29866;0;0;0;0;0;0;0;0
21-Jul-2020;245032;35082;772;11550;197628;0;0;0;0;0;0;0;0;0
22-Jul-2020;245338;35089;762;11642;197842;0;0;0;0;0;0;0;0;0
23-Jul-2020;245590;35106;759;11542;198192;0;0;0;0;0;0;0;0;0
24-Jul-2020;245864;35117;772;11670;198320;0;0;0;0;0;0;0;0;0
25-Jul-2020;246118;35129;779;11786;198446;0;0;0;0;0;0;0;0;0
26-Jul-2020;246286;35141;785;11796;198593;0;0;0;0;0;0;0;0;0
27-Jul-2020;246488;35153;789;11820;198756;0;0;0;0;0;0;0;0;0
28-Jul-2020;246776;35171;769;11847;199031;0;0;0;0;0;0;0;0;0
29-Jul-2020;247158;35183;795;11435;199796;0;0;0;0;0;0;0;0;0
30-Jul-2020;247537;35193;757;11665;199974;0;0;0;0;0;0;0;0;0
31-Jul-2020;247832;35209;748;11709;200229;0;0;0;0;0;0;0;0;0
01-Aug-2020;248070;35221;750;11706;200460;0;0;0;0;0;0;0;0;0
02-Aug-2020;248229;35236;775;11699;200589;0;0;0;0;0;0;0;0;0
03-Aug-2020;248419;35254;802;11680;200766;0;0;0;0;0;0;0;0;0
04-Aug-2020;248803;35266;805;11841;200976;0;0;0;0;0;0;0;0;0
05-Aug-2020;249204;35283;804;11890;201323;0;0;0;0;0;0;0;0;0
06-Aug-2020;249756;35296;821;12103;201642;0;0;0;0;0;0;0;0;0
07-Aug-2020;250103;35306;814;12139;201947;0;0;0;0;0;0;0;0;0
08-Aug-2020;250566;35326;808;12455;202098;30364;0;0;0;0;0;0;0;0
09-Aug-2020;250825;35334;825;12543;202248;0;0;0;0;0;0;0;0;0
10-Aug-2020;251237;35345;850;12711;202461;0;0;0;0;0;0;0;0;0
