Date;coef mort;coef betaH;% Original Variant;% Variant 2;Estimated V1 (Pfizer);Estimated V2 (Moderna);Estimated V3 (AstraZeneca);Estimated V4 (J&J)
07-Jun-2020;1;1;100;0;-;-;-;-
08-Jun-2020;1;1;100;0;-;-;-;-
09-Jun-2020;1;1;100;0;-;-;-;-
10-Jun-2020;1;1;100;0;-;-;-;-
11-Jun-2020;1;1;100;0;-;-;-;-
12-Jun-2020;1;1;100;0;-;-;-;-
13-Jun-2020;1;1;100;0;-;-;-;-
14-Jun-2020;1;1;100;0;-;-;-;-
15-Jun-2020;1;1;100;0;-;-;-;-
16-Jun-2020;1;1;100;0;-;-;-;-
17-Jun-2020;1;1;100;0;-;-;-;-
18-Jun-2020;1;1;100;0;-;-;-;-
19-Jun-2020;1;1;100;0;-;-;-;-
20-Jun-2020;1;1;100;0;-;-;-;-
21-Jun-2020;1;1;100;0;-;-;-;-
22-Jun-2020;1;1;100;0;-;-;-;-
23-Jun-2020;1;1;100;0;-;-;-;-
24-Jun-2020;1;1;100;0;-;-;-;-
25-Jun-2020;1;1;100;0;-;-;-;-
26-Jun-2020;1;1;100;0;-;-;-;-
27-Jun-2020;1;1;100;0;-;-;-;-
28-Jun-2020;1;1;100;0;-;-;-;-
29-Jun-2020;1;1;100;0;-;-;-;-
30-Jun-2020;1;1;100;0;-;-;-;-
01-Jul-2020;1;1;100;0;-;-;-;-
02-Jul-2020;1;1;100;0;-;-;-;-
03-Jul-2020;1;1;100;0;-;-;-;-
04-Jul-2020;1;1;100;0;-;-;-;-
05-Jul-2020;1;1;100;0;-;-;-;-
06-Jul-2020;1;1;100;0;-;-;-;-
07-Jul-2020;1;1;100;0;-;-;-;-
08-Jul-2020;1;1;100;0;-;-;-;-
09-Jul-2020;1;1;100;0;-;-;-;-
10-Jul-2020;1;1;100;0;-;-;-;-
11-Jul-2020;1;1;100;0;-;-;-;-
12-Jul-2020;1;1;100;0;-;-;-;-
13-Jul-2020;1;1;100;0;-;-;-;-
14-Jul-2020;1;1;100;0;-;-;-;-
15-Jul-2020;1;1;100;0;-;-;-;-
16-Jul-2020;1;1;100;0;-;-;-;-
17-Jul-2020;1;1;100;0;-;-;-;-
18-Jul-2020;1;1;100;0;-;-;-;-
19-Jul-2020;1;1;100;0;-;-;-;-
20-Jul-2020;1;1;100;0;-;-;-;-
21-Jul-2020;1;1;100;0;-;-;-;-
22-Jul-2020;1;1;100;0;-;-;-;-
23-Jul-2020;1;1;100;0;-;-;-;-
24-Jul-2020;1;1;100;0;-;-;-;-
25-Jul-2020;1;1;100;0;-;-;-;-
26-Jul-2020;1;1;100;0;-;-;-;-
27-Jul-2020;1;1;100;0;-;-;-;-
28-Jul-2020;1;1;100;0;-;-;-;-
29-Jul-2020;1;1;100;0;-;-;-;-
30-Jul-2020;1;1;100;0;-;-;-;-
31-Jul-2020;1;1;100;0;-;-;-;-
01-Aug-2020;1;1;100;0;-;-;-;-
02-Aug-2020;1;1;100;0;-;-;-;-
03-Aug-2020;1;1;100;0;-;-;-;-
04-Aug-2020;1;1;100;0;-;-;-;-
05-Aug-2020;1;1;100;0;-;-;-;-
06-Aug-2020;1;1;100;0;-;-;-;-
07-Aug-2020;1;1;100;0;-;-;-;-
08-Aug-2020;1;1;100;0;-;-;-;-
09-Aug-2020;1;1;100;0;-;-;-;-
10-Aug-2020;1;1;100;0;-;-;-;-
11-Aug-2020;1;1;100;0;-;-;-;-
12-Aug-2020;1;1;100;0;-;-;-;-
13-Aug-2020;1;1;100;0;-;-;-;-
14-Aug-2020;1;1;100;0;-;-;-;-
15-Aug-2020;1;1;100;0;-;-;-;-
16-Aug-2020;1;1;100;0;-;-;-;-
17-Aug-2020;1;1;100;0;-;-;-;-
18-Aug-2020;1;1;100;0;-;-;-;-
19-Aug-2020;1;1;100;0;-;-;-;-
20-Aug-2020;1;1;100;0;-;-;-;-
21-Aug-2020;1;1;100;0;-;-;-;-
22-Aug-2020;1;1;100;0;-;-;-;-
23-Aug-2020;1;1;100;0;-;-;-;-
24-Aug-2020;1;1;100;0;-;-;-;-
25-Aug-2020;1;1;100;0;-;-;-;-
26-Aug-2020;1;1;100;0;-;-;-;-
27-Aug-2020;1;1;100;0;-;-;-;-
28-Aug-2020;1;1;100;0;-;-;-;-
29-Aug-2020;1;1;100;0;-;-;-;-
30-Aug-2020;1;1;100;0;-;-;-;-
31-Aug-2020;1;1;100;0;-;-;-;-
01-Sep-2020;1;1;100;0;-;-;-;-
02-Sep-2020;1;1;100;0;-;-;-;-
03-Sep-2020;1;1;100;0;-;-;-;-
04-Sep-2020;1;1;100;0;-;-;-;-
05-Sep-2020;1;1;100;0;-;-;-;-
06-Sep-2020;1;1;100;0;-;-;-;-
07-Sep-2020;1;1;100;0;-;-;-;-
08-Sep-2020;1;1;100;0;-;-;-;-
09-Sep-2020;1;1;100;0;-;-;-;-
10-Sep-2020;1;1;100;0;-;-;-;-
11-Sep-2020;1;1;100;0;-;-;-;-
12-Sep-2020;1;1;100;0;-;-;-;-
13-Sep-2020;1;1;100;0;-;-;-;-
14-Sep-2020;1;1;100;0;-;-;-;-
15-Sep-2020;1;1;100;0;-;-;-;-
16-Sep-2020;1;1;100;0;-;-;-;-
17-Sep-2020;1;1;100;0;-;-;-;-
18-Sep-2020;1;1;100;0;-;-;-;-
19-Sep-2020;1;1;100;0;-;-;-;-
20-Sep-2020;1;1;100;0;-;-;-;-
21-Sep-2020;1;1;100;0;-;-;-;-
22-Sep-2020;1;1;100;0;-;-;-;-
23-Sep-2020;1;1;100;0;-;-;-;-
24-Sep-2020;1;1;100;0;-;-;-;-
25-Sep-2020;1;1;100;0;-;-;-;-
26-Sep-2020;1;1;100;0;-;-;-;-
27-Sep-2020;1;1;100;0;-;-;-;-
28-Sep-2020;1;1;100;0;-;-;-;-
29-Sep-2020;1;1;100;0;-;-;-;-
30-Sep-2020;1;1;100;0;-;-;-;-
01-Oct-2020;1;1;100;0;-;-;-;-
02-Oct-2020;1;1;100;0;-;-;-;-
03-Oct-2020;1;1;100;0;-;-;-;-
04-Oct-2020;1;1;100;0;-;-;-;-
05-Oct-2020;1;1;100;0;-;-;-;-
06-Oct-2020;1;1;100;0;-;-;-;-
07-Oct-2020;1;1;100;0;-;-;-;-
08-Oct-2020;1;1;100;0;-;-;-;-
09-Oct-2020;1;1;99.9994;0.0006;-;-;-;-
